company_id,company_name,year,sales,operating_profit,net_profit,equity_capital,reserves,borrowings,total_assets,other_income,interest,operating_activity,investing_activity
1,TCS,2020,6756,1460.4,1135.04,1808,29304,12613,48231,942.91,237.68,2307.19,-7203.6
1,TCS,2021,13851,1915.02,1875.59,4234,21240,3484,33560,277.31,410.96,8798.15,-888.88
1,TCS,2022,43282,11475.04,6996.32,4196,14140,2712,39066,899.77,81.19,6561.23,-5030.18
1,TCS,2023,47667,9316.9,8373.88,1060,27416,0,40394,124.39,359.13,2157.57,-3974.07
1,TCS,2024,36208,6796.85,3498.53,3278,14477,3434,23081,640.98,454.56,6176.98,-5680.81
2,Infosys,2020,24658,5455.59,2464.11,3186,17601,2006,42828,692.3,212.12,1699.81,-2834.96
2,Infosys,2021,38489,5835.73,5096.8,704,24297,3947,32354,105.68,102.46,7414.55,-897.37
2,Infosys,2022,43943,5524.36,4986.92,4010,29106,645,35330,681.47,230.27,652.27,-6149.67
2,Infosys,2023,44517,5886.41,9089.31,3344,15167,0,42708,910.89,428.0,7460.57,-5807.11
2,Infosys,2024,44006,8481.08,5385.72,4372,10399,0,17813,485.0,480.43,9824.04,-6081.51
3,Reliance Industries,2020,21666,4260.96,3711.25,2207,6488,10556,33425,775.32,225.35,9218.99,-6235.26
3,Reliance Industries,2021,41579,10921.06,7921.12,4261,10281,1335,28607,914.65,160.63,4907.53,-4434.2
3,Reliance Industries,2022,45533,5541.46,6144.0,4417,29735,10047,48375,611.78,56.84,3458.79,-3194.36
3,Reliance Industries,2023,21625,4915.39,3796.82,507,14997,0,24074,532.41,383.55,7040.27,-399.31
3,Reliance Industries,2024,18429,3644.61,3053.39,4387,2368,3347,13154,708.24,315.77,6956.82,-6509.34
4,HDFC Bank,2020,29226,3599.69,2501.87,2535,10217,10827,36975,284.64,0.0,9338.22,-6743.31
4,HDFC Bank,2021,31306,7583.89,4110.3,691,24444,12699,48457,60.26,0.0,4746.44,-197.76
4,HDFC Bank,2022,46177,13620.41,5418.04,2122,21989,5461,37997,432.14,0.0,1129.65,-508.9
4,HDFC Bank,2023,10474,2115.91,1414.24,4029,27151,10298,47445,761.94,0.0,3582.44,-6627.98
4,HDFC Bank,2024,20189,5258.37,4318.2,1275,21506,14199,43290,186.93,0.0,1517.0,-4904.09
5,ICICI Bank,2020,45949,9305.17,9335.13,2810,23847,2826,41719,532.77,0.0,4871.72,-1158.02
5,ICICI Bank,2021,5308,1075.11,450.7,1388,26649,4570,34682,622.68,0.0,10315.54,-1751.72
5,ICICI Bank,2022,35152,4378.44,3962.83,3557,4000,7365,20041,105.38,0.0,2926.56,-4038.84
5,ICICI Bank,2023,13054,3372.64,2328.92,658,5647,13604,31385,847.68,0.0,5715.15,-1393.02
5,ICICI Bank,2024,31018,6979.72,6264.47,3007,15152,0,42082,743.1,0.0,11753.94,-435.51
6,Larsen & Toubro,2020,17380,2660.72,2582.42,1315,4108,2719,30343,493.41,365.45,8004.39,-7101.17
